Sample ID,Group,Island,Ocean,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U
41215,Samoa,Tutuila,Pacific,-14.3,-170.7,46.68007066,2.745034696,10.43759732,11.52725788,0.155434074,15.64791627,9.216261911,1.89610393,1.251243381,0.335005596,35.30348479,372.4348278,216.7947715,38.47168029,248.1590052,34.86507694,74.23276418,36.45233341,7.809107175,1.550915119,0.208722022,5.436817194,3.192838709,4.918336463,0.912242257
41218,Samoa,Tutuila,Pacific,-14.3,-170.7,46.51303205,3.284569981,9.49690493,11.49538122,0.14397455,15.60403395,10.03301436,1.830558096,1.090557447,0.403176725,27.18212617,377.00381,232.5268584,36.07127037,213.7373144,32.01836561,69.4396751,36.7212391,8.329233208,1.563703777,0.212498316,5.85970642,2.501521842,4.03864373,0.760910683
41220,Samoa,Tutuila,Pacific,-14.3,-170.7,46.55829742,3.057987268,9.556812297,11.75748461,0.150951997,15.95632047,9.178170722,2.342219001,1.040394974,0.302324479,27.27394687,360.4250932,205.4578197,34.8272682,214.6135025,29.51400221,64.04709567,33.12907846,7.228173919,1.505616907,0.210873537,5.229849997,2.217008433,3.87183749,0.816526814
41041,Samoa,Manua Islands,Pacific,-14.218,-169.509,45.83807756,2.844475546,9.991702011,12.06026251,0.160426424,16.36805498,9.629410027,1.937791889,0.729839104,0.356986518,15.79910292,348.6021214,177.8490339,27.92327331,141.2133868,23.21659631,49.51345281,27.74501762,6.705796732,1.734350711,0.259810001,4.787866945,1.607686914,2.19769675,0.579136915
41042,Samoa,Manua Islands,Pacific,-14.2164,-169.5094,46.29699206,3.027148279,10.10743228,11.45794239,0.165353348,15.55050997,10.19879589,1.98983923,0.765312224,0.347060195,17.62339443,394.3550701,200.7226596,32.59026984,157.4834536,26.43676669,56.22524485,31.31724461,7.296072175,1.771695837,0.261044555,5.215551115,1.621938301,2.571435691,0.649509925
41048,Samoa,Manua Islands,Pacific,-14.2556,-169.4319,46.81138935,3.00295441,10.14949202,11.2949778,0.14292305,15.32684246,10.08006468,2.093662201,0.678722005,0.335460302,14.36808842,359.4745041,187.5387756,27.83848779,132.6425341,22.39162808,47.23716073,25.80818536,6.711816463,1.724394415,0.247961848,4.791605472,1.064803808,2.637455147,0.639809152
41228,Samoa,Manua Islands,Pacific,-14.27,-169.66,44.38161308,3.843861307,8.646975129,12.40413367,0.149160135,16.83469942,10.57156926,1.732383191,0.875925911,0.451025009,19.68496968,463.1130616,226.4703206,38.8974257,191.3041292,29.19183709,62.09963827,34.18612449,8.414272565,1.306853379,0.18144349,5.880755378,2.004897406,3.042684429,0.760611826
41229,Samoa,Manua Islands,Pacific,-14.2163,-169.5079,45.85270778,2.874006338,9.630385257,12.1928648,0.172915784,16.5497795,9.627462049,1.969522785,0.722080569,0.325816842,15.85892155,333.0226628,181.0633563,29.29974729,144.4335673,23.62227726,49.10606328,26.19799218,6.534220579,1.586028187,0.222976373,4.730876636,5.249325639,3.091355653,0.563644978
41230,Samoa,Manua Islands,Pacific,-14.2192,-169.5037,46.2645757,2.824286748,9.746908534,11.84945679,0.15232476,16.08711021,9.977712572,2.029748934,0.681125741,0.308882604,14.89999131,324.1218194,175.1595366,26.27440937,129.8810994,21.49404893,44.99397406,24.75315575,6.470322075,1.650719413,0.243194254,4.419677022,1.1679514,2.566135023,0.578132667
41231,Samoa,Manua Islands,Pacific,-14.216,-169.4762,45.42638396,3.194228917,10.54288021,12.10024561,0.141965253,16.42074271,8.773711668,2.107790514,0.821862141,0.37162462,18.82070524,414.326606,206.7327746,34.31565625,177.2815913,27.03600308,56.8149184,30.01854802,7.305132068,1.754694744,0.258717335,5.373574046,1.615892187,3.27434126,0.714851132
41234,Samoa,Manua Islands,Pacific,-14.2161,-169.4774,45.86752747,3.042735956,10.07767324,11.81650835,0.159332501,16.03634011,9.863877013,2.001034239,0.701093682,0.346323385,16.05988465,365.5710011,197.5951192,31.80122349,140.2366505,25.80784178,53.03012396,27.23896933,6.690913434,1.63881526,0.24056044,4.819460151,1.210888003,2.906265347,0.692738188
41235,Samoa,Manua Islands,Pacific,-14.2163,-169.439,46.43857445,2.63063675,9.670733758,12.135362,0.140107712,16.4688655,9.530109213,1.962370345,0.651620568,0.294280256,13.32737406,331.39335,166.6964258,26.46217814,126.1148903,21.96240701,45.70690095,24.59220565,6.203987687,1.542109568,0.225060986,4.352874871,1.633520113,2.56462767,0.616567187
41236,Samoa,Manua Islands,Pacific,-14.2312,-169.42,45.81480979,2.831425288,9.854167199,12.14124325,0.160884541,16.47248123,9.490848383,2.128674934,0.677050925,0.342508115,15.30665719,361.2299635,191.3838169,29.44213656,140.2086285,24.71745627,50.92341766,27.10973101,6.853043872,1.732705348,0.244474487,4.975866802,1.32658989,2.939814522,0.669181353
41238,Samoa,Manua Islands,Pacific,-14.2176,-169.4202,45.6473205,2.848010506,10.06345227,12.19370517,0.159677504,16.54399552,9.296342997,2.074657471,0.737078298,0.347358738,15.08737352,369.1137469,201.5329579,30.15240019,144.8634665,25.02203252,51.74851738,27.59307555,6.879344939,1.720311054,0.249766182,5.071216542,1.34157496,3.007558253,0.626897131
41239,Samoa,Manua Islands,Pacific,-14.2179,-169.4846,46.12866612,2.86363696,9.911130915,11.80483701,0.15293567,16.01856448,10.00161895,2.025378398,0.693068926,0.31865238,13.95176621,342.0197849,178.5780598,27.26699657,141.0089604,22.20327771,46.75996517,25.49721658,6.466374917,1.602659043,0.236342401,4.605714793,1.638311952,2.73274507,0.533765775
41344,Samoa,Manua Islands,Pacific,-14.103,-169.905,42.56151764,3.834666499,9.651969155,13.24719631,0.158378298,17.97333847,8.829375082,2.12323322,1.015595728,0.502230637,15.43250492,436.1969812,211.2675329,35.49934033,172.3832244,29.27023705,66.06540661,36.9066113,8.319104865,1.733057019,0.243906144,5.560220589,2.075730874,3.292407878,0.7433577
41476,Samoa,Manua Islands,Pacific,-14.1733,-169.6398,44.38033747,3.843726184,8.646673364,12.40375807,0.152228486,16.8343894,10.57122522,1.732322083,0.875894842,0.451009011,19.68505893,463.1151614,226.4713474,36.74516559,191.3049965,29.19196944,62.09991983,34.18627949,8.375355573,1.310008363,0.177499871,5.880782041,2.011075439,3.042698225,0.761383573
41477,Samoa,Manua Islands,Pacific,-14.187,-169.6738,43.98512958,3.6825042,8.110257208,13.74653997,0.145691368,18.65757468,9.084403905,1.524306981,0.656211891,0.326076424,14.29541021,343.550997,170.6830372,25.72757501,146.1569071,22.27753538,47.1080112,26.05640046,6.604272604,1.351255753,0.194934374,4.631539547,1.65460202,2.199396051,0.546063821
41478,Samoa,Manua Islands,Pacific,-14.1835,-169.676,44.30384758,3.367709168,9.048880762,13.0815735,0.157390612,17.7465307,9.72215951,1.377743766,0.748956606,0.351314697,17.31154954,384.6035593,192.6395598,30.3639602,186.8704262,25.46814651,53.02927407,29.36827951,7.311792221,1.429929985,0.201292561,5.127578751,1.745247072,2.818734045,0.641695599
41480,Samoa,Manua Islands,Pacific,-14.1817,-169.6757,44.04224249,3.326889336,9.033111825,13.68245252,0.177655932,18.57154812,8.616268843,1.373331083,0.772050915,0.322394888,17.5719754,281.933615,182.2469578,27.64335412,181.5659572,28.63728121,50.95012976,30.62865908,7.514195824,1.578921354,0.227697102,4.941885808,1.72455938,2.791511055,0.583728473
41483,Samoa,Manua Islands,Pacific,-14.1755,-169.638,44.61869858,4.017211853,9.749996385,12.01170485,0.144156928,16.304553,9.372782113,2.311810129,0.930955128,0.427096081,20.26599905,493.1701224,229.7160537,37.41853728,187.8286548,28.3105179,59.63694232,32.64311625,8.006420539,1.454332004,0.200827101,5.754422885,1.97527767,3.176959331,0.791334299
41485,Samoa,Manua Islands,Pacific,-14.1968,-169.6112,44.27856628,3.575380257,8.158474441,13.45411752,0.140245336,18.25464776,9.205250137,1.735210984,0.739144051,0.369572025,17.14064886,375.3715594,194.4786248,30.33246731,150.4195275,24.8051902,52.86937412,29.54220087,7.28417498,1.373323625,0.192307317,5.134768896,1.695271014,2.632707245,0.639938324
41058,Samoa,Savai^I,Pacific,-13.726712000000001,-172.3787,45.87209107,2.564008835,10.28368155,11.53865679,0.151401405,15.66250084,10.18553585,2.199481749,1.038522906,0.395983554,25.94725953,440.6592273,161.4543292,33.06994911,283.2185846,30.20891117,59.28396211,28.41786375,6.629880722,1.433332901,0.205147192,4.110052562,3.240444447,2.892590224,0.582894711
41059,Samoa,Savai^I,Pacific,-13.7037052,-172.3654,46.18689471,2.503187549,10.84069541,11.48603282,0.15708278,15.58598385,9.774903522,1.864041443,1.112816854,0.379182039,25.07112642,442.8924563,161.4426431,33.00417652,299.2413657,28.4807466,55.6745654,27.01706597,6.287662107,1.433947043,0.205105041,4.178031627,3.365602949,2.910392936,0.58530462
41061,Samoa,Savai^I,Pacific,-13.7192806,-172.395,46.59867731,2.315397724,11.2506479,11.41552564,0.144481491,15.49505296,8.680796586,2.50703016,1.144671085,0.340130837,34.77291334,454.5705715,167.6461939,30.55794937,264.3153311,28.11806079,52.23274975,24.9805986,5.830989328,1.54618366,0.226543634,4.192935034,3.384260184,2.899213963,0.608475036
41062,Samoa,Savai^I,Pacific,-13.717651799999999,-172.3929,47.38483896,2.123331341,11.60313127,10.51356029,0.151882048,14.27216398,10.44395441,2.187415973,0.964568628,0.271284927,25.94379854,328.0397547,127.6251063,26.18644509,232.1421973,22.19953598,40.1309067,21.095343,5.030016435,1.657722578,0.26222461,3.312072634,2.614052264,2.012822418,0.429626286
41089,Samoa,Savai^I,Pacific,-13.502955600000002,-172.3813,47.65186335,2.163839441,10.99136729,10.96824443,0.145055916,14.88701572,10.06770047,2.11017439,0.718445118,0.221647962,19.19698426,324.6954559,120.8229311,22.04155475,171.2177397,17.54126942,38.03385384,19.90604372,4.493891318,1.372089694,0.200947116,3.06357334,1.594597115,1.842486003,0.435700039
41090,Samoa,Savai^I,Pacific,-13.717855400000001,-172.513,48.10337206,2.418162165,11.52938945,10.33807454,0.130910644,14.03445525,8.275349051,2.965731857,1.630774028,0.443317211,48.6299943,488.6246265,227.3837689,43.83457184,357.0177471,28.93084848,59.87579279,28.6920541,6.138140267,1.271120654,0.181860778,5.381387047,3.355097372,4.220023468,1.100369126
41243,Samoa,Savai^I,Pacific,-13.686908200000001,-172.39,45.45476036,2.827940491,10.80745157,11.35875773,0.1628969,15.41501557,9.741017532,2.305913814,1.401324065,0.397795218,41.41721455,494.3365962,168.98534,37.46985261,388.7660004,30.07888452,59.88033681,29.81881642,7.060064692,1.380723709,0.193425662,4.292433692,3.889794981,3.028981191,0.669046
41250,Samoa,Savai^I,Pacific,-13.502955600000002,-172.3815,45.87795263,2.820492343,10.78493592,11.32523859,0.153063766,15.36593797,9.946949031,2.77461374,0.427944003,0.392282003,49.85182131,524.5956753,168.5492367,38.21895614,384.2710819,28.55353807,62.01354486,31.32357099,6.611950832,1.355872782,0.19123607,4.2478867,2.49566792,2.995960413,0.624113423
