Sample ID,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U,Island,Group,Ocean
3097,37.516,-25.516,46.60896130346232,3.2382892057026478,12.637474541751528,10.672097759674134,0.17311608961303465,10.80448065173116,11.659877800407331,2.4439918533604885,1.2932790224032586,0.4684317718940937,31.4423032782795,684.420837283569,245.668028042513,58.0781398133826,465.626465745222,40.3793273788733,82.3107429768974,39.653350631206,7.77045456813532,1.65823102639589,0.231386313058231,5.37710950052393,1.98792460456065,4.26323586647373,1.15855875455317,Sao Miguel,Azores,Atlantic
3098,37.8,-25.5,47.397204780230915,3.5041523192222,15.596516102896496,10.674498683410977,0.18229694146242656,6.603200324083451,10.04658699615151,3.3522382013368444,1.8736074539193843,0.7696981972858011,48.0222493765586,886.526184538653,382.42991521197,78.5387281795511,559.385536159601,57.9113865336658,128.184194513716,54.6899251870324,10.2911955112219,2.09120289276808,0.291429875311721,7.55607493765586,3.04165885286783,6.29808179551122,1.6591774563591,Sao Miguel,Azores,Atlantic
3126,37.797,-25.7,46.482772764561105,3.6915504511894985,14.109926168990972,11.207957342083672,0.17432321575061524,7.731747333880228,11.751435602953238,2.737899917965545,1.486874487284659,0.6255127153404428,36.5993400329983,763.028648567572,268.737288135593,57.8279586020699,484.403029848508,40.9802459877006,84.1133943302835,41.3557522123894,8.19604919754012,1.75636778161092,0.243127763611819,5.54597660116994,1.97265936703165,4.47102744862757,1.10073391330433,Sao Miguel,Azores,Atlantic
3138,37.516,-25.516,47.18512430655434,3.544277789192521,15.4818163139511,10.797205670844463,0.18491884117526194,6.708444627080337,10.1191699198685,3.2977193342921716,1.900554756523526,0.7807684405177727,48.9818318243209,895.582011905357,387.376744535041,78.9012755740083,561.114651593217,58.2878795457956,129.609229153119,54.6855384923215,10.3692386573958,2.09185943674654,0.290188584863188,7.5669175128808,2.82183382522135,6.27407733480066,1.70110549747386,Sao Miguel,Azores,Atlantic
3141,37.533,-25.483,47.054067710965136,3.648307225871652,13.90601313794846,11.147043961596765,0.18191005558362808,8.08489135927236,10.833754421424963,2.69833249115715,1.5967660434562911,0.8489135927235978,39.9243279771738,855.700555638985,288.692288631927,58.7698152875807,618.814536717225,47.7285177954648,99.3465835711068,51.618065775642,10.2307658807629,2.0935805676528,0.285819041898183,5.91449684637333,2.29834644841568,4.51689442859288,1.19246012914852,Sao Miguel,Azores,Atlantic
3167,37.83445,-25.76611,47.48339502545001,3.5004830596626437,15.635423022681893,10.68924826309609,0.18659726184627518,6.43811536228078,9.968168479831627,3.424008772020721,1.9006409621937528,0.7739197909361911,43.3566814184075,878.316991387841,343.746767276132,79.2061236418992,560.262098387551,60.3914373698507,118.453068509669,55.0067775371143,10.443941532013,2.16400561036696,0.298501042157036,7.83053244463761,2.43975948779843,6.23474809255795,1.64107113527456,Sao Miguel,Azores,Atlantic
3168,37.89106,-25.80595,46.03883874654736,3.845450257052405,14.04923935296286,11.472437312703496,0.18978601163072042,7.713228280179006,10.72138730944877,3.6150683071049508,1.5527946406149797,0.8017697817554493,32.4007418511074,838.879696425263,246.516966265683,56.9011421284615,557.086282058515,45.0219323044854,92.5152574146681,47.5256318546921,9.99593697620044,2.0887977385801,0.263654477113067,5.80542173695738,1.47757392763678,4.13215261708978,1.07884544045332,Sao Miguel,Azores,Atlantic
3169,37.90007,-25.78657,45.15497732883188,4.640658604537948,14.216231577177702,12.753166103323563,0.19514878764129207,6.74642641254163,10.928332107912356,2.9486879640459063,1.4804743104305313,0.9358968035571904,31.5254789378771,900.267168032147,245.197902095219,56.5570556529531,510.895855189571,45.7063447880588,95.4262726298246,51.4093482723829,10.5163936128939,1.93192452037881,0.303773487504965,6.11193645016374,1.53767200117092,4.07304244341507,1.07931274776223,Sao Miguel,Azores,Atlantic
3170,37.851458,-25.829222,47.23656272133472,3.7635050298760944,14.42694061438977,11.656833719622545,0.18606785315694413,7.659621955096088,10.261487901727214,2.907181705678664,1.3569589291003648,0.5448395700175714,30.6969508944446,649.877640060191,247.529884394061,56.4551049872903,387.202848263794,42.351720515825,80.7640822659459,41.1568111461903,8.31202173632882,1.89468777830257,0.288078304941711,5.94739709523655,1.06547567235221,4.46884952195633,1.28198757335922,Sao Miguel,Azores,Atlantic
3171,37.751303,-25.60367,46.489861317016874,3.9926598875097015,14.90743833353481,11.963031957585994,0.18405514289575997,7.036253311931214,9.534878994817795,3.2101684699472797,1.979363966895743,0.7022886178648281,41.8902642858439,860.430377034628,325.718184192889,67.2405502539619,531.985656693135,52.163029857375,108.223778458039,54.7568933950724,11.1916934820523,2.24213731846683,0.325505593843834,7.63549862204875,3.06624953252997,5.04618944895682,1.30510172777893,Sao Miguel,Azores,Atlantic
3177,37.777702,-25.58374,47.472068795506104,3.536252524252295,14.187948115517043,11.239959407889819,0.17993074422330244,8.57738036382677,9.130462935558631,3.005661295548354,2.045689881766072,0.6246459359115797,47.9157377511329,793.390712916406,343.002312419942,66.6883615207135,566.392871986147,53.1680499974511,107.923820238131,51.8589497073429,10.0080642212338,2.22061671195529,0.310768093195395,8.25419363262524,3.01663204083748,5.89525587706137,1.50261634264795,Sao Miguel,Azores,Atlantic
3178,37.75318,-25.21881,49.04914265637675,3.6107917791033466,15.278941784015714,11.668426236892504,0.15734633106449192,6.534981386288907,7.505624337660781,2.588040627184149,2.8812769714407036,0.7254278899726585,78.5729894491064,519.556147929805,452.602669401757,82.8395805712815,679.509241930514,92.5859597220111,127.676897863742,78.7478385548126,14.4022516987573,2.67855619774175,0.405256018724687,10.6809214376804,4.43906206419567,10.226356164534,1.61577739592138,Sao Miguel,Azores,Atlantic
3186,37.82945,-25.14358,48.44652408952813,3.9105507505265056,14.86891287205174,13.241770209798354,0.17024689865916634,5.735064200614789,8.109290528301356,2.876762353849162,2.065525625900962,0.5753524707698313,51.3241077639674,548.353241499502,340.697353334277,64.0150707664694,523.966376515179,72.3600713059076,109.122899363361,64.1713584700703,12.5733133416036,3.80517112789526,0.529934382129182,8.63795467644201,2.4772734181318,6.64387486520399,1.44661415672748,Sao Miguel,Azores,Atlantic
3197,37.758,-25.703,46.196262636577146,2.7366486265699987,11.630756662922495,10.711732870417645,0.16338200755641785,13.315633615848052,11.508220157255181,2.226079852956193,1.061983049116716,0.4493005207801491,26.8544113248928,550.066194796132,175.736665337454,39.7325490977968,378.856843784269,30.048988136776,60.7718323198086,32.1454291695743,6.83339946166883,1.66741935001495,0.228836521782474,4.38630370850364,1.92223676602532,3.3418268368059,0.849557770910178,Sao Miguel,Azores,Atlantic
3198,37.79,-25.684,46.910708868439684,3.0336737789463037,12.78187885529376,10.840327636768126,0.17190818080695724,10.66841945596117,11.396501162908281,2.4775002528061485,1.2336940034381636,0.4853878046314086,24.3,594.0,168.0,39.7,364.0,30.5,64.1,33.4,7.32,1.75,0.24,5.33,1.86,3.42,1.04,Sao Miguel,Azores,Atlantic
3572,37.8,-25.5,48.012078510317075,3.170608958228486,13.39708102667338,11.142425767488678,0.17111222949169608,8.857574232511325,9.35078007045798,3.0900855561147464,2.3553095118268748,0.4529441368897837,53.9,500.5,314.0,57.0,431.0,43.7,93.4,40.5,7.9,2.28,0.27,7.63,3.3,5.914,1.617,Sao Miguel,Azores,Atlantic
3586,37.8,-25.5,45.46001805959667,4.103541687568978,14.156717166649942,12.420989264573091,0.1705628574295174,7.785692786194441,10.4444667402428,3.170462526336912,1.705628574295174,0.5819203371124712,43.0,789.0,317.0,61.0,519.0,45.3,93.5,47.9,10.0,2.43,0.32,7.28,7.0,4.539,1.252,Sao Miguel,Azores,Atlantic
3588,37.8,-25.5,46.63519485737243,3.6058658095620726,14.282844515869828,11.641221374045802,0.17075130574527925,8.376858175974286,9.511852149457614,3.2543190036159104,1.8782643631980716,0.6428284451586983,48.0,307.0,342.0,64.0,553.0,50.4,104.0,50.3,10.3,2.58,0.38,7.65,8.0,5.039,1.441,Sao Miguel,Azores,Atlantic
3589,37.8,-25.5,46.074193224087665,3.9810998290942,15.230722831004325,12.224791394390271,0.17090580074394293,6.72564592339399,9.570724841660804,3.4382225796722636,1.8900170905800744,0.6936764853724742,45.0,888.0,348.0,68.0,548.0,53.6,117.0,58.2,11.3,2.66,0.36,7.95,7.0,4.946,1.38,Sao Miguel,Azores,Atlantic
3590,37.8,-25.5,45.460957178841305,3.788413098236776,14.125944584382871,11.848866498740554,0.1712846347607053,8.392947103274558,10.891687657430731,2.8916876574307304,1.7632241813602016,0.6649874055415618,42.0,758.0,310.0,57.0,489.0,45.6,92.8,45.3,9.15,2.23,0.3,6.82,9.0,4.844,1.273,Sao Miguel,Azores,Atlantic
3592,37.8,-25.5,45.73121735636801,4.087987143431096,13.951386098834872,12.284049819204498,0.18079550020088386,7.965046203294494,10.405785456006427,3.1036560867818395,1.6974688629971872,0.5926074728806748,44.0,749.0,310.0,59.0,489.0,46.4,96.6,48.4,9.96,2.51,0.32,7.39,7.0,4.569,1.272,Sao Miguel,Azores,Atlantic
3593,37.8,-25.5,48.44363856149895,2.9616198247204593,13.589201168530272,10.778684396091467,0.17125012591921027,9.166918505087136,8.753903495517276,3.193311171552332,2.5083106678754916,0.4331620832074141,59.0,501.0,352.0,60.0,314.0,47.9,99.3,45.6,8.62,2.35,0.32,8.24,6.0,6.434,1.769,Sao Miguel,Azores,Atlantic
3680,37.6,-25.8,46.46878198567042,3.920163766632549,14.493346980552715,12.057318321392017,0.1842374616171955,7.860798362333675,9.518935516888435,2.9170931422722624,1.9037871033776872,0.6755373592630503,46.1200219857093,844.451106780593,359.578773797032,64.9827612052166,540.648578424024,50.8669364912807,117.873382301504,53.6151501524009,10.6705641333133,2.24354169789637,0.306300904412132,7.55234097836406,2.80067955828711,5.24658971668415,1.34887323239894,Sao Miguel,Azores,Atlantic
3779,37.8,-25.5,48.25393621316108,3.0076705692369803,13.807024626564393,10.708518368994751,0.16148566814695198,8.770690351231329,9.113847396043601,3.2095276544206706,2.5030278562777553,0.4642712959224869,60.3694069784964,550.5,405.406820164226,67.6518007811324,349.5,51.7418499128894,107.912324021441,49.359277123158,9.37335058214246,2.36638769003024,0.327194216906544,8.84051266626611,4.00374684068338,6.709,1.807,Sao Miguel,Azores,Atlantic
1677,38.515,-28.4338,48.14889538989207,2.471502067991527,13.991728033894887,9.996973670937155,0.1714919802279835,9.684253001109655,10.360133158478767,3.419751841016847,1.281145969938465,0.4741248865126602,40.9901502760113,545.984535556404,223.701382392545,44.9493488333622,406.043516053248,32.7572506763615,71.0905105701615,34.9251701856,7.25885550892217,2.34925977449603,0.329753435552381,5.19488272469845,2.22594449881954,3.5732625776215,1.01294816768138,Pico Alto,Azores,Atlantic
1680,38.4537,-28.3533,47.92403273057885,2.3234670168703913,12.930599050409135,9.839377714920701,0.1616324881301142,11.76886554197394,10.788968582685122,2.7780583897363376,1.0809172643701386,0.4040812203252855,23.2696606177305,482.741491691684,197.311185022694,39.9098292923247,300.375523577975,27.2963028988729,61.033713618791,29.327144994714,6.14541265899389,1.81377934395843,0.254206648170997,4.68079602403569,1.8880885336192,2.77933300471148,0.892539973728575,Pico Alto,Azores,Atlantic
1681,38.4273,-28.1069,46.91056910569106,3.3028455284552853,16.61585365853659,10.904471544715449,0.17276422764227645,6.880081300813008,10.08130081300813,3.373983739837399,1.1890243902439024,0.5691056910569107,18.7087227204508,571.938762543669,255.38723555096,50.4694048395031,386.916249033919,31.0537396339086,71.2890033935249,35.9810200851414,7.69040662319795,2.25456039844465,0.317681996759211,5.88110352479761,1.84365609442468,3.08302387845834,1.0654909043894,Pico Alto,Azores,Atlantic
1684,38.4336,-28.4439,46.85927118985303,1.9629555063418564,11.31467686732434,10.207368632977653,0.16106301590497285,14.66680088584659,11.214012482383733,2.4964767465270787,0.8053150795248644,0.31205959331588484,15.2292189297778,392.426668428969,139.332199788411,27.3182780818387,208.141205838545,17.086903925877,34.6004991626805,20.0257731657859,4.39965032255145,1.45102282716661,0.208044072653814,3.24835130502628,1.21671268632508,1.6454066878839,0.515936705453488,Pico Alto,Azores,Atlantic
1689,38.5995,-28.8333,48.134704577535786,2.6416616253276866,16.25327687033676,9.386973180076627,0.15124016938898968,7.8241580963903985,9.689453518854606,3.821334946561806,1.5829804396047586,0.5142165759225649,30.7729909217705,626.765670391712,241.342449131821,45.7918708979225,425.695742247907,36.120782134211,88.8051417593133,36.0071287027765,7.08035302788342,1.95019434771408,0.281513982781233,5.45458922554513,3.31627461881678,3.74591317821682,1.05533486137382,Faial,Azores,Atlantic
1690,38.7414,-28.7414,46.923542465200725,2.3098648376033886,13.828928787573128,9.794230381278998,0.15130119023602984,12.20496267903974,10.59108331652209,2.9150695985475084,0.9380673794633851,0.342949364535001,11.6090943946016,452.772899555878,169.18778245301,33.0088601226414,253.589042997952,23.6682869509445,52.1371941842178,27.199462314447,5.79558634973296,1.64831574798306,0.237009608445723,4.07174820444743,1.81494372921019,2.36575439542795,0.753144048803465,Faial,Azores,Atlantic
1691,38.5845,-28.7561,47.398087569199795,2.4157020634121786,14.604932058379466,9.562154001006542,0.15098137896326116,10.790135883241067,10.568696527428283,3.1102164066431803,1.0266733769501761,0.37242073477604426,13.5907596878068,451.951817707422,178.007215880644,34.9733451323386,266.481296230305,24.8259039895896,54.3391529106526,27.8857745833967,5.95557198950057,1.716940378117,0.246432148032538,4.32609457099624,1.82932611533588,2.50976761251505,0.751184851474956,Faial,Azores,Atlantic
1692,38.588472,-28.824972,46.93980778958017,2.680829539706626,15.032878098128478,9.88366211431462,0.15174506828528073,9.994941831057158,11.006575619625696,2.8629236216489633,1.0520991401112798,0.39453717754172996,13.8834442869379,499.173660139849,182.097697713639,35.4719545755553,292.365513416279,25.5315179709897,55.7068305959431,28.9509944501812,6.11932909829272,1.78244640562743,0.254801069617264,4.43686909241955,1.78795414815128,2.5643706780191,0.774646626968366,Faial,Azores,Atlantic
3213,38.7777778,-28.9972222,48.17153916675156,3.1374146888051344,17.184475909137216,9.880818987470715,0.16298258123663037,5.5719669960272995,10.257716206580424,3.5754303758785784,1.487216053784252,0.5704390343282063,31.69,747.18,250.66,46.51,397.7,37.66,82.24,40.51,8.71,2.49,0.35,6.05,2.75,3.46,1.06,Faial,Azores,Atlantic
3433,38.6297222,-28.9630556,48.8216172287688,2.986590816741163,16.16212921576595,9.183258837870785,0.152377082486794,5.912230800487608,10.889882161722879,3.718000812677774,1.5339292970337264,0.6399837464445348,25.56,637.01,229.91,40.16,341.53,30.69,65.04,34.23,7.15,2.06,0.29,5.17,2.36,3.02,0.98,Faial,Azores,Atlantic
3451,38.6944444,-28.8111111,47.8044317950803,3.0392356169953243,17.015653588127666,10.306972961984142,0.16263468184590363,5.885342549298637,9.981703598292334,3.7202683472250455,1.5856881479975604,0.4980687131530799,32.52,803.9,238.96,47.07,407.44,39.11,85.04,40.25,8.52,2.31,0.32,5.91,2.81,3.62,1.07,Faial,Azores,Atlantic
3476,38.7944444,-28.7638889,47.57820383451059,3.38042381432896,16.094853683148333,11.150353178607467,0.1715438950554995,5.943491422805247,10.736629667003026,3.25933400605449,1.2008072653884962,0.48435923309788087,26.6,650.64,254.61,45.67,343.15,36.01,78.69,39.66,8.91,2.73,0.38,6.48,1.86,3.19,1.01,Faial,Azores,Atlantic
