Group,Island,Ocean,Sample ID,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U,ol added (%),cpx added (%)
Hawaii,Kaula,Pacific,14951,21.822,-160.679,45.14727540821084,1.3933183544778671,12.575363747102719,11.902799244273247,0.18636742321041502,16.148845203265495,9.344995078122247,2.369528666532414,0.5857261872327321,0.26623917601487823,9.807744321754068,422.7799375504847,65.99783330999564,14.705798462083528,210.92869866991066,14.353572804843234,30.545142034263364,15.754073004130554,3.4660113228856817,1.3860879016063041,0.21079189856071123,1.5843166886420168,2.4159879984206563,1.1727932472664302,0.3063263565881437,15.773254221680649,0.0
Hawaii,Kaula,Pacific,14959,21.527,-160.429,45.435752895797016,1.2823108746297474,13.184323077179073,11.350888866762139,0.18060716544080885,15.399040807703635,9.572179768362878,2.6549253319798938,0.6050340042267103,0.25285003161713226,11.456531508266735,422.3106750308962,68.53484150758187,15.47911871263063,232.60707982972548,15.47724416041439,30.238809703653978,15.835226441848322,3.3818538789013317,1.4162892868488763,0.2063700104517862,1.6104950227000128,0.8500197792445109,1.154084608246496,0.3131235284539166,12.971965628686366,0.0
Hawaii,Kaula,Pacific,14967,21.534,-160.426,45.05390405165873,1.23065544654196,13.416008996771831,11.244018302318375,0.18646294644575162,15.265238981980959,10.152907433971162,2.5265729243399333,0.5500656920149671,0.2890175669909148,9.704306308635022,451.8304432980118,66.15678521767641,15.523264217456733,237.44938701607072,15.79910866016264,29.842783260700358,16.16877034102142,3.390888704060082,1.4433174445087984,0.2129441075460136,1.543053014663786,0.7854100428593112,1.293495137802501,0.3326128829485662,9.032779698089698,0.0
Hawaii,Kaula,Pacific,14970,21.557,-160.44,46.39518333309925,1.2160678416378865,13.08720629572202,11.314613848376297,0.1489062663230071,15.354518301675549,8.843377705516344,2.589314519950059,0.6783507688048098,0.2812673919434573,10.89914101038659,468.4477558662321,76.98030752734053,16.95327440986185,259.5682480845487,17.686519028742428,34.96369466311443,17.277358023522208,3.455643782973009,1.3886725754976779,0.18932309843103615,1.69523441251889,0.8272069083754804,1.2364207810952244,0.3684693405416628,24.538552832261466,0.0
Hawaii,Kaula,Pacific,14984,21.576,-160.469,45.743231579995054,1.2904096775285894,12.886174418653546,11.495651979587745,0.18818474463958607,15.598763444559863,9.221052487339737,2.5360134634763303,0.6900107303451488,0.26883534948512233,13.587727308761579,397.76763065894306,66.94008845090943,16.40503751828026,251.3344195222242,15.344545768924874,30.07181832949912,15.785624113414459,3.34242399861459,1.3964338129231992,0.19465492941641005,1.6316275471040453,1.4553056693620978,1.1464327986353828,0.3174734658835387,14.793595899719028,0.0
Iceland,Iceland,Atlantic,29442,63.788,-20.015,44.62720944201461,2.11772842017771,10.094041055386553,14.059367766374873,0.14629045007806515,19.076618992366626,7.4538467420728365,1.762451612845262,0.32741195969852827,0.27864847633917317,5.907789820624848,231.2241040002053,137.90306146426258,18.595459070095995,94.65508063806848,12.963421405098249,31.139760156434075,18.999820683471338,4.740115132468927,1.9955010284778334,0.2882014990008806,3.341344845091888,0.8371736571911852,0.9533975455487373,0.30659551150081304,51.72443846729149,0.0
Iceland,Iceland,Atlantic,29464,64.839,-23.282,44.01580353867083,2.3185519261080785,10.774042481558594,13.972513668377246,0.1444794968791377,18.955237002080473,7.017575562701015,1.7956737469264274,0.6123178677258725,0.3095989218838688,12.337629727764241,317.2533963920306,114.36781793166952,27.37041891879271,274.95452992754736,19.600396964337104,42.263512039500334,22.119120404489582,4.62844655931439,1.6170846397753957,0.23238725072559188,2.78440631474716,0.8715329215280523,1.27266882390458,0.38452206830805946,52.86636316459165,0.0
Iceland,Iceland,Atlantic,30799,64.91588,-22.9021,46.462766812981975,2.158867031498209,13.612680724343948,10.388550637279033,0.17926863289793626,14.104937479094032,9.148421063830762,2.4800819224826602,0.8969380465895911,0.46858312230977206,19.173859939353232,343.8192444025727,157.06635849774642,40.23302062213842,297.1753816137574,27.857175323841144,57.52509522724924,28.62259507094036,5.7585901020624455,2.1363962523597055,0.31759173719119993,3.7638575209281293,1.8709706969692252,2.888556269997615,0.8365736438757255,15.657567739549167,0.0
Iceland,Iceland,Atlantic,30804,64.90996,-22.90698,45.94993945354982,2.1257425842479925,12.267918217812264,11.651370603179094,0.16244366570999397,15.81059353180398,8.462855981597455,2.021542776181785,0.9062835468727359,0.5376789325528938,18.176676431572947,328.3928809787427,134.21725097883248,34.72086629526786,395.5865223307612,26.05925572951543,55.41141215933574,28.42133227950174,5.633705453283353,1.8855900280958113,0.2847609839226304,3.2526157514370597,1.2477576996075583,2.3416645977676,0.6747732224519044,34.70614615042928,0.0
Iceland,Iceland,Atlantic,30805,64.919003,-22.907061,47.32655294161815,1.9868344320254911,13.19946832499605,10.695516727754399,0.1737761940308921,14.517425221241817,7.584404722875939,2.606416272598257,1.1976169162373758,0.5953489129382655,26.517032789706107,356.0614553334046,187.581699381043,47.94137991556437,374.82642133126785,38.062729544051756,77.44906328778485,37.35171818335028,7.170804178935996,2.5332557288008326,0.37693276427748434,4.429162209567944,1.411280668027733,3.689661217741216,0.9907403001384615,27.62665018009094,0.0
Iceland,Iceland,Atlantic,34077,64.653,-14.456,45.11840026548388,1.9288760617882723,11.38707142268063,13.392582638278741,0.1489479584392495,18.176865422621855,7.171844198849868,2.1225084077593093,0.32768550856634765,0.1787375501270985,4.713638072651853,219.4551333661822,93.73614289811044,9.520048997733614,84.99780353242829,8.281724289305052,20.559080364127425,13.8758418700949,3.639975426387993,1.936021088850419,0.271808364470427,2.412502096845848,0.5661358467033697,0.653822113263221,0.1859757203232616,42.24943346854541,0.0
Iceland,Iceland,Atlantic,34320,64.902,-23.923,44.611311618660785,2.26986602477614,11.568750506275705,12.663839241763702,0.15132440165174232,17.19510837201428,8.443901612167243,1.7931941595731515,0.6733935873502528,0.5220691856985119,11.428932665036344,391.7148447047783,158.04026112924927,35.39253434597768,354.5768853690144,24.646200451567143,53.82865635717231,28.578077333884863,5.6782126943273745,1.8842290391650731,0.28105005849969417,3.304560007080112,1.0587837962653084,1.5422812497515879,0.4573914830997721,36.26381689016963,0.0
Iceland,Iceland,Atlantic,34321,64.829,-23.922,45.39227972258285,2.035655319291191,11.422687798708164,12.75031910026686,0.14386256673436065,17.29967520029811,7.8117373736757605,2.0356553192911906,0.6401884219679016,0.3812358018460553,13.54279583025907,330.69327809420554,140.28687057764893,27.631288966345465,264.7662846697301,17.38845632776727,37.925561479420104,20.89527713084374,4.594483433482924,1.9434859846656503,0.28733117248553064,3.1279169490901535,1.854084953864336,1.6100468271889652,0.4865909783683189,44.615423424968306,0.0
